	0	1	genome_id
0	-6.1181126	34.695747	Genome107.0
1	9.417911	30.671682	Genome22.0
2	-4.411354	1.007796	Genome134.0
3	7.4312773	-22.72188	Genome134.0
4	6.9409256	-20.279032	Genome134.0
5	-9.928835	22.675419	Genome107.0
6	-3.8892334	1.7884717	Genome134.0
7	-12.463188	27.49994	Genome34.0
8	-3.853524	10.452724	Genome34.0
9	9.391116	-36.70696	Genome134.0
10	2.5447564	-45.069992	Genome134.0
11	-3.4995587	6.811338	Genome22.0
12	5.05879	-28.556108	Genome134.0
13	1.4464222	0.9333414	Genome34.0
14	-10.81646	12.106434	Genome107.0
15	7.7177577	-21.539625	Genome134.0
16	1.4600371	10.65263	Genome34.0
17	8.18701	24.937836	Genome107.0
18	2.6940405	-43.68117	Genome134.0
19	-3.5055344	-53.687267	Genome134.0
20	-3.0621557	-52.39827	Genome134.0
21	1.2573279	-8.727716	Genome34.0
22	-14.743621	28.262173	Genome107.0
23	2.7437003	-40.523605	Genome134.0
24	-1.0098691	-43.621002	Genome134.0
25	4.665728	-16.295406	Genome134.0
26	-0.8617075	-46.841423	Genome134.0
27	6.0241776	-22.929962	Genome134.0
28	-9.5447855	18.168451	Genome34.0
29	4.011424	27.473425	Genome107.0
30	-4.0138493	28.798855	Genome22.0
31	8.4061165	29.873001	Genome107.0
32	0.9207301	-46.57216	Genome134.0
33	-0.036966305	19.843126	Genome34.0
34	3.9385314	-4.8897586	Genome107.0
35	5.361855	19.99971	Genome22.0
36	-1.7369735	19.964102	Genome107.0
37	0.6842736	-44.906635	Genome134.0
38	5.051268	-21.723698	Genome134.0
39	-15.862756	27.888103	Genome22.0
40	4.910333	-19.940619	Genome134.0
41	8.672953	29.198427	Genome22.0
42	0.40255058	-10.00554	Genome134.0
43	1.6434458	-10.745441	Genome107.0
44	5.468528	-45.13578	Genome134.0
45	7.6266484	-32.89598	Genome134.0
46	1.9808888	-45.271023	Genome134.0
47	4.3866696	-4.3987045	Genome107.0
48	-7.294161	7.9255385	Genome34.0
49	-1.5913419	20.839186	Genome22.0
50	15.100413	13.694399	Genome22.0
51	3.5519736	16.109333	Genome107.0
52	-3.4013772	27.273237	Genome22.0
53	6.871043	29.200377	Genome107.0
54	3.5933428	-10.614644	Genome134.0
55	13.543707	10.742873	Genome22.0
56	1.29632	-27.987108	Genome134.0
57	-0.4775263	-0.5141663	Genome107.0
58	-11.452219	29.75	Genome34.0
59	-7.608162	30.012909	Genome107.0
60	-11.139318	32.56691	Genome34.0
61	4.8726845	28.941273	Genome34.0
62	5.776892	-44.81923	Genome134.0
63	-12.202267	24.859732	Genome22.0
64	-13.303657	14.145882	Genome23.0
65	-9.528948	15.862275	Genome22.0
66	2.4633017	27.97278	Genome107.0
67	-5.9744096	20.8929	Genome34.0
68	-2.49094	29.229912	Genome22.0
69	-3.9200695	17.81758	Genome22.0
70	11.057028	27.99073	Genome22.0
71	-8.309364	34.39237	Genome107.0
72	6.5862355	-25.154596	Genome134.0
73	-4.9112053	27.04671	Genome22.0
74	12.231598	10.101169	Genome134.0
75	15.60707	11.022969	Genome134.0
76	-0.046971925	-47.948616	Genome134.0
77	3.7551994	-36.13709	Genome134.0
78	2.6209106	-11.732952	Genome134.0
79	-11.626012	20.928139	Genome107.0
80	10.646993	13.278638	Genome22.0
81	0.14745544	-42.265907	Genome134.0
82	-14.326065	13.973566	Genome34.0
83	8.504847	32.015255	Genome22.0
84	-9.864859	14.90985	Genome22.0
85	5.481129	20.72935	Genome34.0
86	6.7979903	-46.410156	Genome22.0
87	10.199552	30.554695	Genome22.0
88	1.3674246	-25.48499	Genome134.0
89	7.518037	-36.79493	Genome134.0
90	9.978061	9.83311	Genome34.0
91	0.4400398	22.933514	Genome22.0
92	2.215978	-42.432037	Genome134.0
93	4.1761804	10.414257	Genome22.0
94	-7.807241	35.212906	Genome107.0
95	3.0881667	-5.870797	Genome134.0
96	6.4236393	-28.109715	Genome134.0
97	-0.10289964	-49.46019	Genome134.0
98	-6.675014	2.9950528	Genome22.0
99	1.329029	-10.97135	Genome134.0
100	3.8096442	-33.415443	Genome134.0
101	7.1026397	-9.109633	Genome134.0
102	1.8380419	-2.0355043	Genome22.0
103	-13.05356	27.235258	Genome107.0
104	-2.71593	6.5160584	Genome107.0
105	-1.8595042	-50.702183	Genome134.0
106	1.492501	-46.339344	Genome134.0
107	5.3751	-32.461334	Genome134.0
108	13.270545	12.166893	Genome134.0
109	1.9375684	3.2258024	Genome34.0
110	3.5549476	-11.427987	Genome22.0
111	2.3987617	-12.793565	Genome134.0
112	0.7917466	-0.74228877	Genome22.0
113	-13.298264	9.870834	Genome34.0
114	2.749124	-21.587124	Genome134.0
115	6.53524	-21.727339	Genome134.0
116	-4.2906113	18.953682	Genome34.0
117	0.19139478	11.3117075	Genome22.0
118	6.181708	-8.897333	Genome134.0
119	-3.6748142	9.912127	Genome22.0
120	5.514296	-30.632355	Genome134.0
121	-6.8033953	18.987038	Genome34.0
122	0.9647674	23.101429	Genome22.0
123	0.21663168	11.826223	Genome22.0
124	9.354398	10.05869	Genome22.0
125	-0.5395428	-11.973637	Genome134.0
126	0.3107827	6.359694	Genome22.0
127	-4.428522	16.962177	Genome34.0
128	-12.069574	11.475736	Genome22.0
129	6.037996	-25.356455	Genome134.0
130	5.4875827	15.419015	Genome22.0
131	-4.9473505	0.7564314	Genome34.0
132	2.8103566	29.033712	Genome22.0
133	-15.922139	27.089529	Genome34.0
134	6.0477095	-34.633026	Genome134.0
135	1.5855299	-50.041527	Genome134.0
136	3.1021647	-20.977785	Genome134.0
137	2.510261	11.485504	Genome107.0
138	4.6163855	-30.599545	Genome134.0
139	1.5550715	10.174915	Genome22.0
140	-3.7056513	4.7515173	Genome34.0
141	-12.439717	25.857937	Genome134.0
142	2.7026026	15.481505	Genome34.0
143	-6.2593117	9.501393	Genome34.0
144	-0.24060468	-46.238613	Genome134.0
145	-10.280219	14.332296	Genome34.0
146	2.5601084	-45.685207	Genome134.0
147	-17.527449	25.501188	Genome22.0
148	2.7841237	-39.771282	Genome134.0
149	-10.050454	17.501713	Genome22.0
150	-13.93096	26.504503	Genome22.0
151	-2.2491705	-52.30803	Genome134.0
152	6.0210586	-10.119089	Genome134.0
153	6.6694927	-36.137943	Genome134.0
154	15.885681	13.516843	Genome107.0
155	7.252044	21.410852	Genome22.0
156	0.7334821	-42.845272	Genome134.0
157	-9.086789	34.475483	Genome107.0
158	16.014347	12.332334	Genome134.0
159	-17.20457	27.415354	Genome34.0
160	5.894272	-17.841326	Genome134.0
161	-9.556319	33.554825	Genome34.0
162	4.9195123	-31.730745	Genome134.0
163	-1.049541	-11.035644	Genome134.0
164	5.9983573	32.344227	Genome34.0
165	-6.6519413	10.119395	Genome107.0
166	9.483303	-30.764751	Genome134.0
167	-10.678161	22.843327	Genome34.0
168	0.76607835	-43.964973	Genome134.0
169	8.07875	-6.444567	Genome134.0
170	-3.0432062	18.075539	Genome22.0
171	9.034708	12.8520355	Genome134.0
172	6.0290704	-35.587143	Genome134.0
173	9.945926	13.93632	Genome134.0
174	-1.8705024	18.2987	Genome107.0
175	-6.1203985	21.669033	Genome22.0
176	-1.8806138	19.179455	Genome34.0
177	9.460777	13.218343	Genome22.0
178	2.9377918	-33.6427	Genome134.0
